text,id,tweet,tweet_token
"@Sarah89brown IMO: a good movie, a poor Godfather movie. Fun fact, Winona Ryder was supposed to be Al Pacino's daughter, but she got sick after Dracula. So the director (same as Dracula) hired his daughter to play the role.",1368335287395512320,"@Sarah89brown IMO: a good movie, a poor Godfather movie. Fun fact, Winona Ryder was supposed to be Al Pacino's daughter, but she got sick after Dracula. So the director (same as Dracula) hired his daughter to play the role.","['@USER', 'IMO', ':', 'a', 'good', 'movie', ',', 'a', 'poor', 'Godfather', 'movie', '.', 'Fun', 'fact', ',', 'Winona', 'Ryder', 'was', 'supposed', 'to', 'be', 'Al', ""Pacino's"", 'daughter', ',', 'but', 'she', 'got', 'sick', 'after', 'Dracula', '.', 'So', 'the', 'director', '(', 'same', 'as', 'Dracula', ')', 'hired', 'his', 'daughter', 'to', 'play', 'the', 'role', '.']"
Can't wait for my dad to tell me that the reason why I'm sick is because I'm on my phone and sleep to much and not the fact that I've been going through the most traumatic successful shit ever for the past fucking year,1368335287303221256,Can't wait for my dad to tell me that the reason why I'm sick is because I'm on my phone and sleep to much and not the fact that I've been going through the most traumatic successful shit ever for the past fucking year,"[""Can't"", 'wait', 'for', 'my', 'dad', 'to', 'tell', 'me', 'that', 'the', 'reason', 'why', ""I'm"", 'sick', 'is', 'because', ""I'm"", 'on', 'my', 'phone', 'and', 'sleep', 'to', 'much', 'and', 'not', 'the', 'fact', 'that', ""I've"", 'been', 'going', 'through', 'the', 'most', 'traumatic', 'successful', 'shit', 'ever', 'for', 'the', 'past', 'fucking', 'year']"
I cried so much that head hurts so bad that I wanna vomit,1368335285801648132,I cried so much that head hurts so bad that I wanna vomit,"['I', 'cried', 'so', 'much', 'that', 'head', 'hurts', 'so', 'bad', 'that', 'I', 'wanna', 'vomit']"
tasted like vomit in case anyone was wondering x,1368335281162653696,tasted like vomit in case anyone was wondering x,"['tasted', 'like', 'vomit', 'in', 'case', 'anyone', 'was', 'wondering', 'x']"
@acechhh Feel sick and maybe call in for tomorrow after getting a raise today  But that looks sus so idk :/,1368335274376331269,@acechhh Feel sick and maybe call in for tomorrow after getting a raise today  But that looks sus so idk :/,"['@USER', 'Feel', 'sick', 'and', 'maybe', 'call', 'in', 'for', 'tomorrow', 'after', 'getting', 'a', 'raise', 'today', 'But', 'that', 'looks', 'sus', 'so', 'idk', ':', '/']"
this nigga has been harrassing me for over a month. i block him and he finds a new platform to harrass me. i’m really sick of if.,1368335269825495051,this nigga has been harrassing me for over a month. i block him and he finds a new platform to harrass me. i'm really sick of if.,"['this', 'nigga', 'has', 'been', 'harrassing', 'me', 'for', 'over', 'a', 'month', '.', 'i', 'block', 'him', 'and', 'he', 'finds', 'a', 'new', 'platform', 'to', 'harrass', 'me', '.', ""i'm"", 'really', 'sick', 'of', 'if', '.']"
I can’t be the only one sick of these daily IG message requests https://t.co/MDoco0nx3W,1368335264909848578,I can't be the only one sick of these daily IG message requests https://t.co/MDoco0nx3W,"['I', ""can't"", 'be', 'the', 'only', 'one', 'sick', 'of', 'these', 'daily', 'IG', 'message', 'requests', 'HTTPURL']"
sick.,1368335255615180801,sick.,"['sick', '.']"
That pizza just made me feel sick asf🤦🏽‍♀️🤦🏽‍♀️ I should’ve stuck with Pizza Hut,1368335253220298752,That pizza just made me feel sick asf🤦🏽‍♀️🤦🏽‍♀️ I should've stuck with Pizza Hut,"['That', 'pizza', 'just', 'made', 'me', 'feel', 'sick', 'asf🤦🏽\u200d♀️🤦🏽\u200d♀️', 'I', ""should've"", 'stuck', 'with', 'Pizza', 'Hut']"
"@Tyler__DeWitt @DetroitRedWings @GEICO The original kings jerseys were purple and yellow in the 1960s, they are pretty sick though",1368335252381372418,"@Tyler__DeWitt @DetroitRedWings @GEICO The original kings jerseys were purple and yellow in the 1960s, they are pretty sick though","['@USER', '@USER', '@USER', 'The', 'original', 'kings', 'jerseys', 'were', 'purple', 'and', 'yellow', 'in', 'the', '1960s', ',', 'they', 'are', 'pretty', 'sick', 'though']"
@iCuddleHalo I’m fine but I feel sick but I'm alright hbu?,1368335250619691010,@iCuddleHalo I'm fine but I feel sick but I'm alright hbu?,"['@USER', ""I'm"", 'fine', 'but', 'I', 'feel', 'sick', 'but', ""I'm"", 'alright', 'hbu', '?']"
@AZDCSWarriors @maryjpitzl @azcentral @FBI @FBIPhoenix @AZCourts @OIGHHS This article⤵️ Nail these assholes at AZ DCS. Sick of their games and BS. @FBI @FBIPhoenix @AHCCCSgov @IRS_CI,1368335239181860864,@AZDCSWarriors @maryjpitzl @azcentral @FBI @FBIPhoenix @AZCourts @OIGHHS This article⤵️ Nail these assholes at AZ DCS. Sick of their games and BS. @FBI @FBIPhoenix @AHCCCSgov @IRS_CI,"['@USER', '@USER', '@USER', '@USER', '@USER', '@USER', '@USER', 'This', 'article⤵️', 'Nail', 'these', 'assholes', 'at', 'AZ', 'DCS', '.', 'Sick', 'of', 'their', 'games', 'and', 'BS', '.', '@USER', '@USER', '@USER', '@USER']"
"@Sheila_MRA @JackPosobiec Sick teachers Great example is my school district School has been open/in person since August Except for those additional 10days they closed after Christmas break Why you ask, because so many teachers got infected w/covid the 2wks they were out of school, they couldn't staff them",1368335230566866944,"@Sheila_MRA @JackPosobiec Sick teachers Great example is my school district School has been open/in person since August Except for those additional 10days they closed after Christmas break Why you ask, because so many teachers got infected w/covid the 2wks they were out of school, they couldn't staff them","['@USER', '@USER', 'Sick', 'teachers', 'Great', 'example', 'is', 'my', 'school', 'district', 'School', 'has', 'been', 'open/in', 'person', 'since', 'August', 'Except', 'for', 'those', 'additional', '10days', 'they', 'closed', 'after', 'Christmas', 'break', 'Why', 'you', 'ask', ',', 'because', 'so', 'many', 'teachers', 'got', 'infected', 'w/covid', 'the', '2wks', 'they', 'were', 'out', 'of', 'school', ',', 'they', ""couldn't"", 'staff', 'them']"
i’m addicted to sushi...it’s sick y’all,1368335226645188611,i'm addicted to sushi...it's sick y'all,"[""i'm"", 'addicted', 'to', 'sushi', '.', '.', '.', ""it's"", 'sick', ""y'all""]"
"@BigBlueWaveUSA My daughter has lived in Idaho for three years...she is sick of that kind of crap and moving her family home to Hawaii, where people are normal😂",1368335224048734208,"@BigBlueWaveUSA My daughter has lived in Idaho for three years...she is sick of that kind of crap and moving her family home to Hawaii, where people are normal😂","['@USER', 'My', 'daughter', 'has', 'lived', 'in', 'Idaho', 'for', 'three', 'years', '.', '.', '.', 'she', 'is', 'sick', 'of', 'that', 'kind', 'of', 'crap', 'and', 'moving', 'her', 'family', 'home', 'to', 'Hawaii', ',', 'where', 'people', 'are', 'normal😂']"
@JCrume22 100% makes me sick 😂,1368335219632332801,@JCrume22 100% makes me sick 😂,"['@USER', '100%', 'makes', 'me', 'sick', '😂']"
@inebahti I want to vomit.,1368335207347130370,@inebahti I want to vomit.,"['@USER', 'I', 'want', 'to', 'vomit', '.']"
"The male species makes me sick, please get the fuck away from me. Each and everyone of you",1368335204666859521,"The male species makes me sick, please get the fuck away from me. Each and everyone of you","['The', 'male', 'species', 'makes', 'me', 'sick', ',', 'please', 'get', 'the', 'fuck', 'away', 'from', 'me', '.', 'Each', 'and', 'everyone', 'of', 'you']"
FaceTime calls make me sick these days &lt;\3😢😖,1368335198337736708,FaceTime calls make me sick these days &lt;\3😢😖,"['FaceTime', 'calls', 'make', 'me', 'sick', 'these', 'days', '&lt;\\3😢😖']"
"I really just be rambling in interviews, I feel so bad for journalists that have to make sense of my word vomit",1368335197058576384,"I really just be rambling in interviews, I feel so bad for journalists that have to make sense of my word vomit","['I', 'really', 'just', 'be', 'rambling', 'in', 'interviews', ',', 'I', 'feel', 'so', 'bad', 'for', 'journalists', 'that', 'have', 'to', 'make', 'sense', 'of', 'my', 'word', 'vomit']"
akinori getting sick because they stressed themself out too much n yamato making soup n wrapping them in blankies. aki is very insistent that he not get too close but he is equally insistent that the only way to accurately check temperature is with a kiss to the forehead,1368335193740746752,akinori getting sick because they stressed themself out too much n yamato making soup n wrapping them in blankies. aki is very insistent that he not get too close but he is equally insistent that the only way to accurately check temperature is with a kiss to the forehead,"['akinori', 'getting', 'sick', 'because', 'they', 'stressed', 'themself', 'out', 'too', 'much', 'n', 'yamato', 'making', 'soup', 'n', 'wrapping', 'them', 'in', 'blankies', '.', 'aki', 'is', 'very', 'insistent', 'that', 'he', 'not', 'get', 'too', 'close', 'but', 'he', 'is', 'equally', 'insistent', 'that', 'the', 'only', 'way', 'to', 'accurately', 'check', 'temperature', 'is', 'with', 'a', 'kiss', 'to', 'the', 'forehead']"
@leiarebellion Remember in season 6 when it felt like things from all the way back at the start were falling into place and that even though there were some spotty bits it seemed like it was building towards a deliberate and sick as fuck ending?? God what a time,1368335192331485184,@leiarebellion Remember in season 6 when it felt like things from all the way back at the start were falling into place and that even though there were some spotty bits it seemed like it was building towards a deliberate and sick as fuck ending?? God what a time,"['@USER', 'Remember', 'in', 'season', '6', 'when', 'it', 'felt', 'like', 'things', 'from', 'all', 'the', 'way', 'back', 'at', 'the', 'start', 'were', 'falling', 'into', 'place', 'and', 'that', 'even', 'though', 'there', 'were', 'some', 'spotty', 'bits', 'it', 'seemed', 'like', 'it', 'was', 'building', 'towards', 'a', 'deliberate', 'and', 'sick', 'as', 'fuck', 'ending', '?', '?', 'God', 'what', 'a', 'time']"
@MrOlmos I guarantee these are the same asshole who either 1) are anti-vaxxers or 2) will demand to go to the front of the line for vaccines when Grandma gets sick.,1368335191366852613,@MrOlmos I guarantee these are the same asshole who either 1) are anti-vaxxers or 2) will demand to go to the front of the line for vaccines when Grandma gets sick.,"['@USER', 'I', 'guarantee', 'these', 'are', 'the', 'same', 'asshole', 'who', 'either', '1', ')', 'are', 'anti-vaxxers', 'or', '2', ')', 'will', 'demand', 'to', 'go', 'to', 'the', 'front', 'of', 'the', 'line', 'for', 'vaccines', 'when', 'Grandma', 'gets', 'sick', '.']"
@TheRustler83 Pass me the sick bag.,1368335181870993418,@TheRustler83 Pass me the sick bag.,"['@USER', 'Pass', 'me', 'the', 'sick', 'bag', '.']"
@Seb_design @JIDsv @Dreamville that’s sick wtfff,1368335153186111490,@Seb_design @JIDsv @Dreamville that's sick wtfff,"['@USER', '@USER', '@USER', ""that's"", 'sick', 'wtfff']"
"@forza_support, are you ever going to sort your servers out? Getting sick and tired of being fired off the track by AI that’s a clear 2/3 car widths away while racing in the Trial or in a Convoy! Makes the game almost unplayable online!",1368335151818752005,"@forza_support, are you ever going to sort your servers out? Getting sick and tired of being fired off the track by AI that's a clear 2/3 car widths away while racing in the Trial or in a Convoy! Makes the game almost unplayable online!","['@USER', 'are', 'you', 'ever', 'going', 'to', 'sort', 'your', 'servers', 'out', '?', 'Getting', 'sick', 'and', 'tired', 'of', 'being', 'fired', 'off', 'the', 'track', 'by', 'AI', ""that's"", 'a', 'clear', '2/3', 'car', 'widths', 'away', 'while', 'racing', 'in', 'the', 'Trial', 'or', 'in', 'a', 'Convoy', '!', 'Makes', 'the', 'game', 'almost', 'unplayable', 'online', '!']"
"@sooner_fan85 @J_Dallas1995 He said wives, in other words his better stay in shape or he has not set (in his mind) biblical president for leaving her. So sick",1368335138162176004,"@sooner_fan85 @J_Dallas1995 He said wives, in other words his better stay in shape or he has not set (in his mind) biblical president for leaving her. So sick","['@USER', '@USER', 'He', 'said', 'wives', ',', 'in', 'other', 'words', 'his', 'better', 'stay', 'in', 'shape', 'or', 'he', 'has', 'not', 'set', '(', 'in', 'his', 'mind', ')', 'biblical', 'president', 'for', 'leaving', 'her', '.', 'So', 'sick']"
@LyftGyft That looks sick. Both Model X and Mach-E colors are https://t.co/j69rnM3AiH,1368335133044969473,@LyftGyft That looks sick. Both Model X and Mach-E colors are https://t.co/j69rnM3AiH,"['@USER', 'That', 'looks', 'sick', '.', 'Both', 'Model', 'X', 'and', 'Mach-E', 'colors', 'are', 'HTTPURL']"
@MrOlmos I'm so sick of conservative cancel culture,1368335127156305920,@MrOlmos I'm so sick of conservative cancel culture,"['@USER', ""I'm"", 'so', 'sick', 'of', 'conservative', 'cancel', 'culture']"
@JackIsDead95 @spousrry @Sniffmydiddle @HAL0HUGZ @mick_tay @zaccooper98 doesnt make slut shaming okay ??? y’all are sick,1368335122559303682,@JackIsDead95 @spousrry @Sniffmydiddle @HAL0HUGZ @mick_tay @zaccooper98 doesnt make slut shaming okay ??? y'all are sick,"['@USER', '@USER', '@USER', '@USER', '@USER', '@USER', 'doesnt', 'make', 'slut', 'shaming', 'okay', '?', '?', '?', ""y'all"", 'are', 'sick']"
@MrOlmos Lysol is 58% ethanol:  How many COVID deaths are really alcohol poisoning.  There is something amiss.,1368335121758224387,@MrOlmos Lysol is 58% ethanol:  How many COVID deaths are really alcohol poisoning.  There is something amiss.,"['@USER', 'Lysol', 'is', '58%', 'ethanol', ':', 'How', 'many', 'COVID', 'deaths', 'are', 'really', 'alcohol', 'poisoning', '.', 'There', 'is', 'something', 'amiss', '.']"
